source,cytokine,tf,assay,species,function,interaction,year
17916653,TGFB1,EGR1,ChIP,Bovine,,TGFB1_EGR1,2008
17916653,TGFB1,EGR1,Functional assay,Bovine,A,TGFB1_EGR1,2008
15217985,IFNT,ETS2,Functional assay,Bovine,A,IFNT_ETS2,2004
17276517,CXCL8,NFKB1,Binding assay,Bovine,,CXCL8_NFKB1,2007
17276517,CXCL8,RELA,Binding assay,Bovine,,CXCL8_RELA,2007
23924068,IL2,NFATC1,ChIP,Cats,,IL2_NFATC1,2014
22581230,CXCL12,IRX5,Functional assay,Frog,R,CXCL12_IRX5,2012
17900530,CCL1,AHR,Binding assay,H,,CCL1_AHR,2007
16679317,CCL1,AHR,Binding assay,H,,CCL1_AHR,2006
16679317,CCL1,AHR,ChIP,H,,CCL1_AHR,2006
17900530,CCL1,AHR,Functional assay,H,A,CCL1_AHR,2007
16679317,CCL1,AHR,Functional assay,H,A,CCL1_AHR,2006
26860885,CSF2,AHR,ChIP,H,,CSF2_AHR,2016
17900530,CXCL13,AHR,Binding assay,H,,CXCL13_AHR,2007
17900530,CXCL13,AHR,Functional assay,H,A,CXCL13_AHR,2007
18289803,CXCL8,AHR,Binding assay,H,,CXCL8_AHR,2008
18289803,CXCL8,AHR,ChIP,H,,CXCL8_AHR,2008
18289803,CXCL8,AHR,Functional assay,H,A,CXCL8_AHR,2008
20676092,IL10,AHR,Binding assay,H,,IL10_AHR,2010
20676092,IL10,AHR,ChIP,H,,IL10_AHR,2010
20676092,IL10,AHR,Functional assay,H,A,IL10_AHR,2010
23349129,IL1B,AHR,ChIP,H,,IL1B_AHR,2013
23349129,IL1B,AHR,Functional assay,H,A,IL1B_AHR,2013
19578368,IL22,AHR,Functional assay,H,A,IL22_AHR,2009
27888289,IL4,AHR,ChIP,H,,IL4_AHR,2016
20511231,IL6,AHR,ChIP,H,,IL6_AHR,2010
23349129,IL6,AHR,ChIP,H,,IL6_AHR,2013
21104991,IL6,AHR,ChIP,H,,IL6_AHR,2011
18483242,IL6,AHR,ChIP,H,,IL6_AHR,2008
20511231,IL6,AHR,Functional assay,H,A,IL6_AHR,2010
23349129,IL6,AHR,Functional assay,H,A,IL6_AHR,2013
21104991,IL6,AHR,Functional assay,H,A,IL6_AHR,2011
18483242,IL6,AHR,Functional assay,H,A,IL6_AHR,2008
17900530,TNFSF13B,AHR,Binding assay,H,,TNFSF13B_AHR,2007
17900530,TNFSF13B,AHR,Functional assay,H,A,TNFSF13B_AHR,2007
26939703,IL12A,AR,ChIP,H,,IL12A_AR,2016
26939703,IL12A,AR,Functional assay,H,R,IL12A_AR,2016
21350238,TGFB1,AR,Binding assay,H,,TGFB1_AR,2012
18651839,TGFB1,AR,Binding assay,H,,TGFB1_AR,2008
18651839,TGFB1,AR,ChIP,H,,TGFB1_AR,2008
21350238,TGFB1,AR,Functional assay,H,R,TGFB1_AR,2012
18651839,TGFB1,AR,Functional assay,H,A,TGFB1_AR,2008
18651839,TGFB1,AR,Functional assay,H,R,TGFB1_AR,2008
21104991,IL6,ARNT,ChIP,H,,IL6_ARNT,2011
20511231,IL6,ARNT,Functional assay,H,A,IL6_ARNT,2010
18641343,IFNG,ATF1,Binding assay,H,,IFNG_ATF1,2008
10540320,IL10,ATF1,Binding assay,H,,IL10_ATF1,1999
10540320,IL10,ATF1,Functional assay,H,A,IL10_ATF1,1999
11776974,TGFB2,ATF1,Binding assay,H,,TGFB2_ATF1,2001
11776974,TGFB2,ATF1,Functional assay,H,A,TGFB2_ATF1,2001
18443042,CCL2,ATF2,Functional assay,H,A,CCL2_ATF2,2008
11413310,CCL5,ATF2,Binding assay,H,,CCL5_ATF2,2001
12388374,CCL5,ATF2,Binding assay,H,,CCL5_ATF2,2002
15546613,FASLG,ATF2,ChIP,H,,FASLG_ATF2,2004
20048166,IFNB1,ATF2,Binding assay,H,,IFNB1_ATF2,2010
10848607,IFNB1,ATF2,Binding assay,H,,IFNB1_ATF2,2000
10848607,IFNB1,ATF2,ChIP,H,,IFNB1_ATF2,2000
10848607,IFNB1,ATF2,Functional assay,H,A,IFNB1_ATF2,2000
